Player,Games,Fpasses,Interceptions,Stackles,Team
Ramsey,31,1289,57,59,Arsenal
Gueye,35,1140,140,108,Aston Villa
Matic,33,1040,67,63,Chelsea
Cabaye,33,793,120,80,Crystal Palace
Kante,37,906,156,125,Leicester
Can,30,1048,62,69,Liverpool
Fernandinho,33,1367,56,73,Man City
Schneiderlin,29,926,73,50,Man Utd
Colback,29,666,63,64,Newcastle
Wanyama,30,859,68,71,Southampton
Cork,35,1008,83,56,Swansea
Dier,37,1393,80,64,Tottenham
Capoue,33,965,81,67,Watford
Noble,37,1215,83,74,West Ham
Arter,34,731,52,52,Bournemouth
Howson,35,841,41,62,Norwich